FIPS,County,# Chlamydia Cases,Chlamydia Rate,# Uninsured Adults,% Uninsured Adults,# Non-Hispanic Black,% Non-Hispanic Black,# Non-Hispanic White,% Non-Hispanic White,# Hispanic,% Hispanic,% Female,Income Ratio,% Unemployed,% Some College,# Uninsured,% Uninsured,% Rural
29001,Adair,66,262.3,1793,12,942,3.7,22049,87.8,801,3.2,51.7,6.3,3.6,63,2031,11,33.5
29003,Andrew,33,183.3,1100,11,228,1.3,16880,93.1,502,2.8,50.1,4.2,2.6,62,1349,9,60.4
29005,Atchison,,,409,15,30,0.6,4856,95.1,116,2.3,49.7,4.7,2.7,53,490,13,100.0
29007,Audrain,178,728.5,2007,15,1367,5.6,21348,87.5,800,3.3,51.9,4.4,3.3,52,2628,14,54.5
29009,Barry,37,105.9,3306,17,215,0.6,29436,83.5,3710,10.5,49.6,4.2,3.5,44,3841,14,82.5
29011,Barton,35,299.3,1138,17,82,0.7,10785,91.9,368,3.1,49.9,5.0,3.0,54,1338,14,100.0
29013,Bates,51,315.3,1400,15,253,1.6,15025,92.5,461,2.8,49.5,4.7,3.2,46,1712,13,100.0
29015,Benton,44,217.6,1792,17,155,0.8,19273,93.8,463,2.3,49.3,5.0,4.3,50,2069,15,100.0
29017,Bollinger,20,190.2,1021,17,69,0.7,10020,95.0,180,1.7,49.6,4.7,3.0,42,1192,14,100.0
29019,Boone,1147,611.1,11208,10,18769,9.9,145349,76.7,8517,4.5,51.5,5.0,2.5,79,12823,8,22.8
29021,Buchanan,572,689.9,6956,15,4808,5.8,67310,81.1,6320,7.6,49.4,4.8,2.9,52,7944,12,13.7
29023,Butler,312,739.7,3901,16,2434,5.8,36606,87.3,1066,2.5,51.4,4.7,4.4,53,4615,14,51.5
29025,Caldwell,21,235.1,772,16,91,1.0,8308,92.8,218,2.4,48.9,3.8,3.1,57,919,13,100.0
29027,Callaway,185,413.3,2818,11,2170,4.9,39809,89.0,1149,2.6,48.5,4.1,2.8,59,3316,10,60.1
